                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.64635,                0.76736,                 1.1992,                0.45954,                0.36454,                0.42457,                0.29367,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     39,                0.65394,                0.76224,                  1.216,                0.43856,                0.38345,                0.42481,                0.28742,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     40,                0.53997,                0.66522,                 1.1833,                0.43005,                0.38176,                0.41682,                0.28311,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     41,                0.52683,                0.58118,                 1.1797,                0.44232,                0.35642,                0.41673,                0.27627,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     42,                0.52289,                0.56421,                 1.1834,                  0.473,                 0.3255,                0.41414,                0.28361,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     43,                0.51089,                0.54665,                 1.1714,                 0.4395,                0.39527,                0.43017,                0.29736,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     44,                0.49791,                0.52607,                 1.1691,                0.44854,                0.39527,                0.43758,                0.30388,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     45,                0.47371,                0.48953,                 1.1347,                0.41292,                0.40372,                0.43201,                0.29523,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     46,                0.46359,                0.49686,                  1.118,                0.41141,                0.39696,                0.43173,                0.29415,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     47,                0.46805,                0.48472,                 1.1257,                0.43069,                0.40034,                0.43396,                0.30883,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     48,                 0.4438,                0.46135,                 1.1207,                0.42154,                0.41748,                0.43583,                0.30917,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     49,                0.43791,                0.44532,                 1.1001,                0.45348,                0.39523,                 0.4386,                0.31002,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
